semantic_id,tune_id,signed_pdg,component,quantity,unit,value_hex,status,uncertainty_status
e64533b9373d33d0725b24c02e6cb9dc8fec77e758cb78704d058ba42fdaac38,CLOSEPACKING,-4114,hadron_count,normalized_yield,per_event,0x1.044a927563038p-6,AVAILABLE,AVAILABLE
4f79224302089d91253b12ac01e2b08e80ca9758a55e1c2e5b83545fe605fc63,JUNCTIONS,-4114,hadron_count,normalized_yield,per_event,0x1.6992c0b76abaep-8,AVAILABLE,AVAILABLE
be1ef1e94fc23e52c1ae8511c72e62d94dcf39fb71366dc9b2444a24976abb3b,MONASH,-4114,hadron_count,normalized_yield,per_event,0x1.7720c8cd63cb8p-9,AVAILABLE,AVAILABLE
9e33b5f73c6419c980ce9a29a7d9b67f3198d081995fa4e87bdbb279321e3976,CLOSEPACKING,-4114,hadron_count,raw_count,count,0x1.83dd400000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
0da3925195f83a36374f57cbdba71d3f7f127f82c1c04c77813e10e5f216557d,JUNCTIONS,-4114,hadron_count,raw_count,count,0x1.0d64a00000000p+19,AVAILABLE,WITHHELD_UNCERTAINTY
1887b1a84005f13619a264f56cf8d63a8d302ae215dbd70948243173e81e12f4,MONASH,-4114,hadron_count,raw_count,count,0x1.177e000000000p+18,AVAILABLE,WITHHELD_UNCERTAINTY
18711d4c555e7fe6c14df75c17f06932d73876c45ad8005c1627414c43ef4cc5,CLOSEPACKING,-4114,hadron_count,raw_weighted_sum,weighted_count,0x1.83dd400000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
49bd4dae52f36883f242ff8c53f109a43d626ca342d82a7d1817ae4ff11f160a,JUNCTIONS,-4114,hadron_count,raw_weighted_sum,weighted_count,0x1.0d64a00000000p+19,AVAILABLE,WITHHELD_UNCERTAINTY
684a0fa58d50cbec303088f3e7b6cea3248440d8452d9ee718967ed41e01c19a,MONASH,-4114,hadron_count,raw_weighted_sum,weighted_count,0x1.177e000000000p+18,AVAILABLE,WITHHELD_UNCERTAINTY
8652c7e077bf1fb33d4498f6674f91fb019bf982a73ba0c6db91203b990c1fd3,CLOSEPACKING,-4122,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
4035c6aa0c7199fd399ac1be8adf4b9e7ef4d0dc0864d82af9a9fccce00bb875,JUNCTIONS,-4122,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
ae8804a404b82300418ae733da15574a51e3aad4d9d4b1f6305317d4d9e1ceba,MONASH,-4122,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
84fc6ad9f421b360b54a5b56b9060c07c87433c4fd1107e3d6d94a06d2cf5cb3,CLOSEPACKING,-4122,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
b05941de6df616ac1b61b34a9570d37e0183f54061ff88bb7d46fc567cd91bf3,JUNCTIONS,-4122,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
