associate,campaign,class,delta,delta_sem,flagged_below_2sem,flavour,nominal_sem,nominal_status,nominal_yield,relative_shift_percent,relative_shift_undefined,significance,trigger,tune,variation_sem,variation_status,variation_yield
B-,HF_SYS_MUF_DOWN,c7,-0.005688968784967385,0.00261884237691131,False,BEAUTY,0.0008105801240509663,PASS,0.11567696878496739,-4.91797878585723,False,2.1723219522959663,B^{+},MONASH,0.00249024,PASS,0.109988
B-,HF_SYS_MUF_DOWN,c8,0.00038707050234783325,0.0018544669498778022,True,BEAUTY,0.0006201551242947836,PASS,0.11529892949765216,0.3357104042806531,False,0.20872332201624771,B^{+},MONASH,0.0017477,PASS,0.115686
B-,HF_SYS_MUF_DOWN,c9,-0.006128986135715969,0.0013976742907906756,False,BEAUTY,0.00032253592146800974,PASS,0.11645998613571597,-5.262739880952408,False,4.3851319124205625,B^{+},MONASH,0.00135995,PASS,0.110331
B-,HF_SYS_MUF_DOWN,c10,-0.0015246286970268114,0.0018302116165309827,True,BEAUTY,0.0005788872936806897,PASS,0.11658962869702681,-1.3076880971880918,False,0.8330341055951885,B^{+},MONASH,0.00173625,PASS,0.115065
B-,HF_SYS_MUF_DOWN,c11,0.004133693983423503,0.0026762923077683085,True,BEAUTY,0.000695319239284961,PASS,0.11801730601657649,3.5026167965932826,False,1.5445599762869269,B^{+},MONASH,0.00258439,PASS,0.122151
B-,HF_SYS_MUF_DOWN,MB,-0.002400533527288057,0.0007432167234659919,False,BEAUTY,0.0002682482989294147,PASS,0.11625153352728805,-2.064947837203862,False,3.2299239932238963,B^{+},MONASH,0.000693119,PASS,0.113851
Lambda_b,HF_SYS_MUF_DOWN,c1,-0.0003541563411896785,0.0019690529656889643,True,BEAUTY,0.0009353532154157095,PASS,0.023007856341189677,-1.5392843902439195,False,0.17986125683813717,B^{+},CLOSEPACKING,0.00173271,PASS,0.0226537
Lambda_b,HF_SYS_MUF_DOWN,c2,0.0012868145048078906,0.0018241855599874955,True,BEAUTY,0.0009494100456424991,PASS,0.02142248549519211,6.0068403598485,False,0.7054186443711963,B^{+},CLOSEPACKING,0.00155765,PASS,0.0227093
Lambda_b,HF_SYS_MUF_DOWN,c3,0.0017520471859806194,0.001389627771571575,True,BEAUTY,0.0007092870667952299,PASS,0.02284095281401938,7.670639663093403,False,1.2608032322203613,B^{+},CLOSEPACKING,0.00119498,PASS,0.024593
Lambda_b,HF_SYS_MUF_DOWN,c4,0.0039861581195728135,0.0018388120517626432,False,BEAUTY,0.0009017357488796491,PASS,0.025451641880427187,15.661693411764714,False,2.167789859627999,B^{+},CLOSEPACKING,0.00160253,PASS,0.0294378
