tune,flavour,trigger,associate,context,activity_id,bin_index,dphi_low,dphi_high,value,stat_error,status
MONASH,beauty,bplus,bminus,os,integrated_0_100,47,1.3194690999999996,1.3823009499999999,0.00052437870237302393,1.6584402958545216e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,48,1.3823009499999999,1.4451327999999997,0.00060640050474955313,1.9944829780187982e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,49,1.4451327999999997,1.50796465,0.0006176171614848049,2.2735902305758659e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,50,1.50796465,1.5707964999999997,0.0007353920572049494,1.483808125270532e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,51,1.5707964999999997,1.63362835,0.00078306284832976966,1.8583033933488277e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,52,1.63362835,1.6964601999999998,0.0008685898559360651,1.696417946732173e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,53,1.6964601999999998,1.75929205,0.0010073959830348067,2.4081559396487823e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,54,1.75929205,1.8221238999999998,0.0010957271548249149,3.4993652051596868e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,55,1.8221238999999998,1.88495575,0.0012296259946019839,2.9859765715304039e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,56,1.88495575,1.9477875999999994,0.0013018332223351677,4.0106165711364713e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,57,1.9477875999999994,2.0106194499999996,0.0014006800098145746,3.4488441969744608e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,58,2.0106194499999996,2.0734512999999994,0.001591363174313856,3.8467022058517383e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,59,2.0734512999999994,2.1362831499999997,0.0016004767079112483,4.2125466435171127e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,60,2.1362831499999997,2.1991149999999995,0.0017967682007781556,3.4452438445209881e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,61,2.1991149999999995,2.2619468499999997,0.0018682743874653862,3.4528091463323716e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,62,2.2619468499999997,2.3247786999999995,0.0020372252795401169,4.4106338953068677e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,63,2.3247786999999995,2.3876105499999998,0.0021206491640085529,3.447410922856808e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,64,2.3876105499999998,2.4504423999999996,0.0023190437800133198,4.2435006032498099e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,65,2.4504423999999996,2.51327425,0.0023877458025167372,3.6612949832995142e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,66,2.51327425,2.5761061,0.0025048196571909286,3.9336028519763249e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,67,2.5761061,2.6389379499999994,0.0025854393774755514,4.3054192287200422e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,68,2.6389379499999994,2.7017697999999997,0.0027333590381716849,4.0072418291172382e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,69,2.7017697999999997,2.76460165,0.0027894423218479442,5.23715597887678e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,70,2.76460165,2.8274335,0.0029689088296119739,3.0664199804591603e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,71,2.8274335,2.8902653499999995,0.0029899400609905711,4.6337311854912357e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,72,2.8902653499999995,2.9530971999999998,0.0031553857478355358,4.3256260570350169e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,73,2.9530971999999998,3.015929049999999,0.0031890357180412911,2.9246679203876238e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,74,3.015929049999999,3.0787608999999994,0.0032296960987065792,3.8622376256590789e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,75,3.0787608999999994,3.1415927499999996,0.0031715096918924603,4.5493765064013504e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,76,3.1415927499999996,3.2044246,0.0032640471099582881,5.6840621909039706e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,77,3.2044246,3.267256449999999,0.0031806232254898525,4.458994685561208e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,78,3.267256449999999,3.3300882999999994,0.0031834273896736653,5.0682650523341229e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,79,3.3300882999999994,3.3929201499999997,0.0030214869080584668,2.7698231930454532e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,80,3.3929201499999997,3.455752,0.0031217357776297801,7.163680481139433e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,81,3.455752,3.5185838499999993,0.003003960881909636,2.4776075771011418e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,82,3.5185838499999993,3.5814156999999986,0.0028083704300886818,4.7059006486581012e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,83,3.5814156999999986,3.644247549999999,0.002636615373830138,5.3214281989319674e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,84,3.644247549999999,3.707079399999999,0.0025903466647972241,4.716715124330458e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,85,3.707079399999999,3.7699112499999994,0.0025896456237512705,3.7719540594618857e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,86,3.7699112499999994,3.8327430999999996,0.0024101791159872412,3.0941347426424158e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,87,3.8327430999999996,3.895574949999999,0.0023407760524378702,2.9877095578615954e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,88,3.895574949999999,3.9584067999999992,0.0020912054400785167,3.4184500849885704e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,89,3.9584067999999992,4.021238649999999,0.0020582565109187145,4.7710849698567843e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,90,4.021238649999999,4.084070499999999,0.0019334712047390375,4.6014786604981147e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,91,4.084070499999999,4.1469023499999995,0.0018584598128220408,4.0302191395094809e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,92,4.1469023499999995,4.2097342,0.0016502506221739283,3.0860996481025068e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,93,4.2097342,4.27256605,0.0015689298608433525,1.9063360570058613e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,94,4.27256605,4.3353979,0.0014132987486417329,2.6811200206271268e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,95,4.3353979,4.398229749999999,0.0013165550843001858,3.299895719525919e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,96,4.398229749999999,4.461061599999999,0.0012135020505450594,3.3710224613794565e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,97,4.461061599999999,4.523893449999999,0.0010459532405622349,2.5605269082606494e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,98,4.523893449999999,4.5867252999999995,0.001002488695713134,3.2199925300694621e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,99,4.5867252999999995,4.64955715,0.00090504399032563358,2.1378275741201578e-05,available_central_sem_only
