flavour,trigger,associate,tune,class,nominal_yield,combined_percent,combined_absolute,source,abs_delta_percent,sem_percent,contribution_percent,quoted_arm,dropped
CHARM,D^{+},D-,CLOSEPACKING,c9,0.17007576064333779,6.4492133520028281,0.010968548663930513,S1b_muf,4.3693700551756445,1.2138065107261675,4.3693700551756445,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,c9,0.17007576064333779,6.4492133520028281,0.010968548663930513,S2_pdf,0.022790221952370158,0.73378929518922975,0.73378929518922975,HF_SYS_PDF_CTEQ6L1,no
CHARM,D^{+},D-,CLOSEPACKING,c9,0.17007576064333779,6.4492133520028281,0.010968548663930513,S3_pthat,4.5904480021903966,0.60470975973485741,4.5904480021903966,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,CLOSEPACKING,c9,0.17007576064333779,6.4492133520028281,0.010968548663930513,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,CLOSEPACKING,c10,0.17345426654454196,7.7449325125868809,0.013433915884077339,S1a_mur,0.53370463229298648,0.97364030894596643,0.97364030894596643,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,c10,0.17345426654454196,7.7449325125868809,0.013433915884077339,S1b_muf,6.7122785085648315,1.3031433314641701,6.7122785085648315,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,c10,0.17345426654454196,7.7449325125868809,0.013433915884077339,S2_pdf,2.8245292791825629,0.87462729131178329,2.8245292791825629,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,CLOSEPACKING,c10,0.17345426654454196,7.7449325125868809,0.013433915884077339,S3_pthat,3.7391605203280083,0.69196300778293585,3.7391605203280083,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,CLOSEPACKING,c10,0.17345426654454196,7.7449325125868809,0.013433915884077339,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,CLOSEPACKING,c11,0.17969203116264248,8.443806817042681,0.015172847976993665,S1a_mur,0.61495835708056834,1.3879702849523958,1.3879702849523958,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,CLOSEPACKING,c11,0.17969203116264248,8.443806817042681,0.015172847976993665,S1b_muf,7.534540485606267,2.0032648535664164,7.534540485606267,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,c11,0.17969203116264248,8.443806817042681,0.015172847976993665,S2_pdf,0.93380258796159898,1.039355200579416,1.039355200579416,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,CLOSEPACKING,c11,0.17969203116264248,8.443806817042681,0.015172847976993665,S3_pthat,3.5499453125908418,2.2896610739879191,3.5499453125908418,HF_SYS_PTHAT_1,no
CHARM,D^{+},D-,CLOSEPACKING,c11,0.17969203116264248,8.443806817042681,0.015172847976993665,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,CLOSEPACKING,MB,0.17347719687199298,5.5181979941905475,0.0095728151981683048,S1a_mur,0.59615724178209317,0.13799485959616409,0.59615724178209317,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,MB,0.17347719687199298,5.5181979941905475,0.0095728151981683048,S1b_muf,1.5026776861805908,0.13189751659516807,1.5026776861805908,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,CLOSEPACKING,MB,0.17347719687199298,5.5181979941905475,0.0095728151981683048,S2_pdf,0.37284619515975476,0.24457021310293095,0.37284619515975476,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,CLOSEPACKING,MB,0.17347719687199298,5.5181979941905475,0.0095728151981683048,S3_pthat,5.2760842883348911,0.24377924278430321,5.2760842883348911,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,CLOSEPACKING,MB,0.17347719687199298,5.5181979941905475,0.0095728151981683048,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c1,0.1801638639341086,5.8243911517772542,0.010493448149678232,S1a_mur,0.38623945940852672,0.73794629071839135,0.73794629071839135,HF_SYS_MUR_DOWN,no
