ordinal,pdg,category,category_name,published_replicated,dedup_low,dedup_high,basis
90,-513,4,kExcludedVector,20514780,789030.000000,789030.000000,beauty-only /26
91,-511,0,kCentralGround,9362366,360091.000000,360091.000000,beauty-only /26
93,-433,4,kExcludedVector,25509000,1062875.000000,1062875.000000,charm-only /24
94,-431,0,kCentralGround,29463744,1227656.000000,1227656.000000,charm-only /24
96,-423,4,kExcludedVector,115611792,4817158.000000,4817158.000000,charm-only /24
97,-421,0,kCentralGround,132986256,5541094.000000,5541094.000000,charm-only /24
99,-413,4,kExcludedVector,115631400,4817975.000000,4817975.000000,charm-only /24
100,-411,0,kCentralGround,132942888,5539287.000000,5539287.000000,charm-only /24
101,411,0,kCentralGround,133165248,5548552.000000,5548552.000000,charm-only /24
102,413,4,kExcludedVector,116061528,4835897.000000,4835897.000000,charm-only /24
104,421,0,kCentralGround,133233624,5551401.000000,5551401.000000,charm-only /24
105,423,4,kExcludedVector,116018424,4834101.000000,4834101.000000,charm-only /24
107,431,0,kCentralGround,29442240,1226760.000000,1226760.000000,charm-only /24
108,433,4,kExcludedVector,25576512,1065688.000000,1065688.000000,charm-only /24
110,511,0,kCentralGround,9375808,360608.000000,360608.000000,beauty-only /26
111,513,4,kExcludedVector,20508852,788802.000000,788802.000000,beauty-only /26
113,521,0,kCentralGround,9356828,359878.000000,359878.000000,beauty-only /26
114,523,4,kExcludedVector,20557472,790672.000000,790672.000000,beauty-only /26
116,531,0,kCentralGround,2109796,81146.000000,81146.000000,beauty-only /26
117,533,4,kExcludedVector,4613388,177438.000000,177438.000000,beauty-only /26
119,541,0,kCentralGround,19942,767.000000,830.916667,mixed-sector bracket /26..24
120,543,4,kExcludedVector,45928,1766.461538,1913.666667,mixed-sector bracket /26..24
122,4112,0,kCentralGround,933000,38875.000000,38875.000000,charm-only /24
123,4114,5,kExcludedExcited,1751784,72991.000000,72991.000000,charm-only /24
124,4122,0,kCentralGround,13091112,545463.000000,545463.000000,charm-only /24
126,4132,0,kCentralGround,2358552,98273.000000,98273.000000,charm-only /24
127,4212,0,kCentralGround,929016,38709.000000,38709.000000,charm-only /24
128,4214,5,kExcludedExcited,1742088,72587.000000,72587.000000,charm-only /24
129,4222,0,kCentralGround,916344,38181.000000,38181.000000,charm-only /24
130,4224,5,kExcludedExcited,1759848,73327.000000,73327.000000,charm-only /24
131,4232,0,kCentralGround,2372616,98859.000000,98859.000000,charm-only /24
132,4312,0,kCentralGround,159744,6656.000000,6656.000000,charm-only /24
133,4314,5,kExcludedExcited,302712,12613.000000,12613.000000,charm-only /24
134,4322,0,kCentralGround,160128,6672.000000,6672.000000,charm-only /24
135,4324,5,kExcludedExcited,302904,12621.000000,12621.000000,charm-only /24
136,4332,0,kCentralGround,25128,1047.000000,1047.000000,charm-only /24
137,4334,5,kExcludedExcited,48744,2031.000000,2031.000000,charm-only /24
139,4414,2,kMultiplyHeavy,96,4.000000,4.000000,charm-only /24
141,4424,2,kMultiplyHeavy,48,2.000000,2.000000,charm-only /24
143,4434,2,kMultiplyHeavy,48,2.000000,2.000000,charm-only /24
145,5112,0,kCentralGround,162396,6246.000000,6246.000000,beauty-only /26
146,5114,5,kExcludedExcited,240994,9269.000000,9269.000000,beauty-only /26
147,5122,0,kCentralGround,1579812,60762.000000,60762.000000,beauty-only /26
148,5132,0,kCentralGround,291304,11204.000000,11204.000000,beauty-only /26
150,5212,0,kCentralGround,162188,6238.000000,6238.000000,beauty-only /26
151,5214,5,kExcludedExcited,249626,9601.000000,9601.000000,beauty-only /26
152,5222,0,kCentralGround,166452,6402.000000,6402.000000,beauty-only /26
153,5224,5,kExcludedExcited,244738,9413.000000,9413.000000,beauty-only /26
154,5232,0,kCentralGround,294814,11339.000000,11339.000000,beauty-only /26
156,5312,0,kCentralGround,30732,1182.000000,1182.000000,beauty-only /26
157,5314,5,kExcludedExcited,44564,1714.000000,1714.000000,beauty-only /26
158,5322,0,kCentralGround,31070,1195.000000,1195.000000,beauty-only /26
159,5324,5,kExcludedExcited,46566,1791.000000,1791.000000,beauty-only /26
160,5332,0,kCentralGround,5590,215.000000,215.000000,beauty-only /26
161,5334,5,kExcludedExcited,7748,298.000000,298.000000,beauty-only /26
162,5342,5,kExcludedExcited,26,1.000000,1.083333,mixed-sector bracket /26..24
163,5412,5,kExcludedExcited,26,1.000000,1.083333,mixed-sector bracket /26..24
164,5414,5,kExcludedExcited,0,0.000000,0.000000,mixed-sector bracket /26..24
165,5422,5,kExcludedExcited,26,1.000000,1.083333,mixed-sector bracket /26..24
